Id,Category
0,0
1,3
2,0
3,4
4,3
5,7
6,1
7,9
8,0
9,8
10,9
11,6
12,2
13,8
14,6
15,2
16,0
17,0
18,5
19,6
20,4
21,9
22,8
23,7
24,1
25,4
26,1
27,2
28,0
29,8
30,7
31,0
32,6
33,8
34,5
35,3
36,2
37,2
38,9
39,1
40,3
41,9
42,8
43,2
44,9
45,6
46,7
47,0
48,6
49,8
50,0
51,4
52,0
53,8
54,3
55,0
56,0
57,8
58,2
59,3
60,5
61,4
62,3
63,4
64,0
65,9
66,0
67,4
68,8
69,5
70,4
71,1
72,5
73,5
74,6
75,8
76,4
77,9
78,6
79,0
80,8
81,4
82,3
83,9
84,6
85,1
86,2
87,9
88,3
89,9
90,7
91,9
92,3
93,2
94,7
95,9
96,9
97,9
98,2
99,7
100,0
101,1
102,0
103,6
104,6
105,5
106,9
107,4
108,5
109,1
110,8
111,2
112,5
113,6
114,1
115,8
116,4
117,7
118,6
119,6
120,5
121,5
122,0
123,9
124,8
125,0
126,7
127,7
128,5
129,3
130,3
131,7
132,9
133,3
134,6
135,4
136,9
137,1
138,1
139,6
140,2
141,0
142,4
143,4
144,4
145,3
146,1
147,2
148,1
149,5
150,0
151,1
152,8
153,6
154,5
155,7
156,3
157,0
158,7
159,8
160,9
161,3
162,8
163,1
164,8
165,9
166,1
167,1
168,7
169,6
170,7
171,6
172,2
173,6
174,3
175,6
176,7
177,8
178,2
179,2
180,6
181,4
182,3
183,9
184,8
185,0
186,8
187,9
188,3
189,5
190,5
191,0
192,8
193,1
194,1
195,1
196,5
197,3
198,0
199,6
200,0
201,0
202,9
203,1
204,2
205,0
206,4
207,8
208,6
209,6
210,2
211,7
212,9
213,7
214,4
215,0
216,6
217,3
218,8
219,2
220,2
221,1
222,6
223,3
224,7
225,0
226,0
227,3
228,3
229,2
230,3
231,2
232,6
233,5
234,0
235,7
236,7
237,5
238,3
239,4
240,0
241,6
242,6
243,4
244,7
245,0
246,3
247,6
248,2
249,9
250,4
251,7
252,7
253,6
254,9
255,5
256,3
257,3
258,8
259,4
260,6
261,7
262,7
263,2
264,9
265,1
266,3
267,7
268,1
269,3
270,1
271,6
272,4
273,3
274,0
275,0
276,6
277,1
278,8
279,7
280,2
281,4
282,7
283,3
284,9
285,1
286,3
287,2
288,0
289,7
290,0
291,4
292,8
293,2
294,3
295,7
296,7
297,6
298,7
299,0
300,3
301,1
302,6
303,3
304,8
305,6
306,3
307,6
308,8
309,6
310,7
311,9
312,2
313,3
314,0
315,1
316,1
317,0
318,0
319,3
320,3
321,5
322,2
323,9
324,2
325,2
326,4
327,8
